algorithm,n,input_type,run,time_ns,comparisons,max_depth,iterations
QuickSort,100000,sorted,1,3094083,3213583,10,0
QuickSort,100000,sorted,2,2894458,3169827,10,0
QuickSort,100000,sorted,3,2988500,3151793,11,0
QuickSort,100000,sorted,4,2897250,3394840,10,0
QuickSort,100000,sorted,5,2776625,3173327,11,0
QuickSelect,100000,sorted,1,234583,542960,0,24
QuickSelect,100000,sorted,2,176208,400059,0,24
QuickSelect,100000,sorted,3,332625,664257,0,20
QuickSelect,100000,sorted,4,352125,823859,0,26
QuickSelect,100000,sorted,5,150416,334556,0,21
MergeSort,100000,duplicates,1,3549250,1563025,14,0
MergeSort,100000,duplicates,2,3720250,1563025,14,0
MergeSort,100000,duplicates,3,3668292,1563025,14,0
MergeSort,100000,duplicates,4,3594250,1563025,14,0
MergeSort,100000,duplicates,5,3466334,1563025,14,0
QuickSort,100000,duplicates,1,940000,459144,3,0
QuickSort,100000,duplicates,2,884500,738978,2,0
QuickSort,100000,duplicates,3,920666,459144,3,0
QuickSort,100000,duplicates,4,928333,558549,2,0
QuickSort,100000,duplicates,5,954500,618869,2,0
QuickSelect,100000,duplicates,1,335125,159815,0,1
QuickSelect,100000,duplicates,2,602458,488537,0,5
QuickSelect,100000,duplicates,3,559209,359324,0,3
QuickSelect,100000,duplicates,4,551000,319006,0,4
QuickSelect,100000,duplicates,5,531083,538813,0,4
MergeSort,1000000,random,1,73044834,19886430,18,0
MergeSort,1000000,random,2,73213541,19886430,18,0
MergeSort,1000000,random,3,72840875,19886430,18,0
MergeSort,1000000,random,4,74321083,19886430,18,0
MergeSort,1000000,random,5,72702041,19886430,18,0
QuickSort,1000000,random,1,58537833,37360126,12,0
QuickSort,1000000,random,2,59694542,36363600,13,0
QuickSort,1000000,random,3,60230292,36160907,12,0
QuickSort,1000000,random,4,61910042,35943224,14,0
QuickSort,1000000,random,5,62751250,36451626,13,0
QuickSelect,1000000,random,1,4434500,2519357,0,27
QuickSelect,1000000,random,2,5771750,4631187,0,17
QuickSelect,1000000,random,3,4215375,2872241,0,15
QuickSelect,1000000,random,4,8554125,8939220,0,25
QuickSelect,1000000,random,5,7242333,5121394,0,21
MergeSort,1000000,sorted,1,17888791,9071040,18,0
MergeSort,1000000,sorted,2,17893375,9071040,18,0
MergeSort,1000000,sorted,3,18078375,9071040,18,0
MergeSort,1000000,sorted,4,18259666,9071040,18,0
MergeSort,1000000,sorted,5,17893959,9071040,18,0
QuickSort,1000000,sorted,1,29600834,37124306,13,0
QuickSort,1000000,sorted,2,30229583,38002891,13,0
QuickSort,1000000,sorted,3,29923667,38054345,13,0
QuickSort,1000000,sorted,4,29750542,37593201,13,0
QuickSort,1000000,sorted,5,30234125,38739037,13,0
QuickSelect,1000000,sorted,1,1775292,3838758,0,33
QuickSelect,1000000,sorted,2,1646917,3754664,0,24
QuickSelect,1000000,sorted,3,2507958,6085022,0,33
QuickSelect,1000000,sorted,4,2965625,5771151,0,26
QuickSelect,1000000,sorted,5,3475209,8207540,0,29
MergeSort,1000000,duplicates,1,36174750,18922524,18,0
MergeSort,1000000,duplicates,2,36087708,18922524,18,0
MergeSort,1000000,duplicates,3,35896209,18922524,18,0
MergeSort,1000000,duplicates,4,35246459,18922524,18,0
MergeSort,1000000,duplicates,5,35861000,18922524,18,0
QuickSort,1000000,duplicates,1,7578125,5801644,2,0
QuickSort,1000000,duplicates,2,8154875,6402647,2,0
QuickSort,1000000,duplicates,3,7871583,6103425,2,0
QuickSort,1000000,duplicates,4,8213875,6000268,2,0
QuickSort,1000000,duplicates,5,8324875,4799975,3,0
QuickSelect,1000000,duplicates,1,3489250,1500460,0,1
QuickSelect,1000000,duplicates,2,6881250,4702571,0,7
QuickSelect,1000000,duplicates,3,6015209,4100443,0,4
QuickSelect,1000000,duplicates,4,3489833,1500460,0,1
QuickSelect,1000000,duplicates,5,7750917,6201551,0,7
